I0,I1
-1.015,-0.403
44.281,49.312
48.452,53.195
49.489,53.848
49.903,53.837
49.666,54
49.896,54.095
49.419,54.081
49.64,54.112
49.862,54.15
49.46,54.214
49.916,54.362
50.123,54.229
50.014,53.865
49.767,54.221
50.001,54.016
49.544,53.774
50.034,54.013
49.4,53.96
49.524,53.932
49.712,53.843
49.747,54.303
49.282,53.838
48.978,53.759
49.199,53.63
49.881,54.07
49.3,53.8
49.558,53.734
49.012,53.539
48.615,53.841
49.313,53.699
49.35,53.727
48.76,53.42
48.674,53.21
49.174,53.622
49.144,53.555
49.202,53.659
48.987,53.369
48.762,53.482
48.724,53.838
49.199,54.4
50.637,55.185
50.286,55.296
50.505,55.321
49.162,54.514
49.627,55.142
49.571,55.034
49.53,54.961
49.835,55.283
49.141,54.992
49.109,55.296
49.349,55.309
48.551,54.885
48.767,55.536
48.625,55.103
47.525,54.916
47.919,55.112
47.6,54.78
47.808,54.904
47.571,54.867
47.357,54.857
46.842,55.101
46.142,54.691
46.528,54.845
46.223,55.156
45.467,55.299
45.09,55.228
44.895,55.072
46.41,55.316
44.702,54.746
43.893,54.807
43.497,55.054
43.62,55.445
42.71,54.844
42.883,54.806
42.416,55.146
41.867,54.936
41.65,54.732
41.389,54.816
40.449,55.012
40.728,54.972
40.296,55.201
39.175,54.742
39.486,55.114
38.686,54.935
38.317,54.831
38.356,54.836
37.808,54.925
37.829,55.086
36.942,55.082
37.245,55.2
37.146,55.31
36.419,55.409
35.798,54.861
36.222,55.003
36.06,55.464
35.501,55.138
35.747,55.434
34.701,55.006
34.687,55.194
34.46,55.226
33.899,54.966
33.627,54.761
34.007,55.277
33.06,54.996
32.895,55.102
32.864,54.842
32.865,54.907
32.432,55.315
31.721,54.966
31.839,54.89
31.52,55.088
30.914,54.745
30.511,54.319
30.884,54.887
30.939,55.011
30.973,54.986
30.945,54.962
31.314,55.277
30.465,55.191
31.051,55.233
30.926,54.962
30.994,55.482
30.728,55.024
30.692,55.217
30.413,55.268
31.284,55.26
31.06,55.375
30.669,55.118
29.854,55.479
30.959,55.331
30.327,55.166
30.713,55.409
30.321,55.45
30.783,55.446
30.447,55.195
30.341,55.43
30.574,55.323
29.853,54.963
30.017,55.538
30.791,55.873
30.812,55.747
30.476,55.477
30.18,55.259
30.01,55.637
29.823,55.526
30.271,55.344
29.857,55.564
30.019,55.329
30.062,55.32
30.327,55.791
30.081,55.563
33.044,56.783
30.419,55.838
30.147,56.007
29.77,55.883
29.865,55.58
30.103,55.554
29.275,56.177
29.645,55.698
29.705,55.76
29.281,55.744
28.94,55.338
28.826,55.791
28.279,55.963
28.443,55.536
28.336,55.279
28.196,55.532
28.021,55.568
27.689,55.625
27.561,55.858
27.746,55.552
27.286,55.404
27.192,55.753
26.935,55.165
27.458,55.825
26.262,55.268
26.66,55.339
26.168,55.489
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
23.394,55.884
26.168,55.489
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565
24.491,55.572
24.167,55.594
24.023,55.559
24.356,55.61
24.025,55.545
22.895,55.53
23.705,56.076
24.014,55.701
23.283,55.56
23.05,55.323
22.305,55.39
23.033,55.329
26.487,55.677
26.2,55.685
26.569,55.562
25.909,55.297
25.62,55.416
25.593,55.551
25.754,55.586
25.382,55.233
25.082,55.452
25.282,55.366
25.255,55.441
24.536,55.288
25.057,55.386
24.946,56.011
23.824,55.128
24.207,55.565